,names,menu,loc,review_num,avg_score
4634,요리조리분식.포차,종합분식,"서울특별시 동작구 서달로14길 16 (흑석동, 1층)",0건,1.0
4638,통큰포차,포장마차,"서울특별시 동작구 사당로8길 12 (사당동, 1층)",3건,1.0
4645,김종구참치박사,생선회,"서울특별시 동작구 동작대로 25-1 (사당동, 1층)",0건,0.9
4655,화끈불끈,한식,"서울특별시 동작구 남부순환로269길 25 (사당동, 1층)",0건,1.0
4659,곱창의 전설,"곱창,막창,양","서울특별시 동작구 흑석로 87 (흑석동, 1층)",5건,0.9
4669,갈비존,"육류,고기요리","서울특별시 동작구 신대방2길 8 (신대방동, 1층)",0건,1.0
4679,숭실골 고기마을,"육류,고기요리","서울특별시 동작구 상도로61길 55 (상도동, 1층)",0건,1.0
4689,족발천하,"족발,보쌈","서울특별시 동작구 양녕로 193 (상도동, 1층)",2건,0.9
4699,크래프트 한스 이수점,"맥주,호프","서울특별시 동작구 동작대로27길 42 (사당동, 1층)",0건,0.9
4709,짬뽕상회,중식당,서울특별시 동작구 여의대방로24길 7 (대방동),1건,0.6
4719,국수마당,국수,"서울특별시 동작구 서달로14나길 22 (흑석동, 1층)",0건,1.0
4729,중대촌,요리주점,"서울특별시 동작구 흑석로 109-2 (흑석동, 2층)",0건,0.9
4739,연탄집,돼지고기구이,"서울특별시 동작구 노량진로16길 30 (노량진동, 1층)",1건,0.4
4749,낙지세상,낙지요리,"서울특별시 동작구 대림로 57 (신대방동, 1층)",15건,0.8
4759,델루가,"카페,디저트","서울특별시 동작구 만양로14사길 1 (노량진동, 지하1층, 1층)",0건,1.0
4769,찌개와육회,한식,서울특별시 동작구 동작대로7길 74 (사당동),25건,1.0
4781,더마니치킨,"치킨,닭강정",서울특별시 동작구 서달로15길 17 (흑석동),0건,1.0
4787,포앤쿡,베트남음식,서울특별시 동작구 여의대방로 80 (신대방동),3건,0.9
4797,코코스중앙식당,한식,서울특별시 동작구 흑석로 24 (상도동),0건,0.8
4807,밀짚모자,"전,빈대떡","서울특별시 동작구 양녕로 284, 1층 (상도동)",14건,1.0
4817,미친노가리 노량진점,미친노가리,"서울특별시 동작구 장승배기로 123-1, 1층 (노량진동)",0건,0.9
4827,꼬꼬닭발& 찜닭,야식,서울특별시 동작구 등용로 107 (대방동),193건,1.0
4837,역전할머니맥주 중앙대점,"맥주,호프",서울특별시 동작구 서달로14길 26 (흑석동),0건,1.0
4847,옹기종기식당,한식,서울특별시 동작구 동작대로31길 27-12 (사당동),17건,1.0
4856,또와불닭발,닭발,"서울특별시 동작구 사당로16길 18, 1층 (사당동)",3건,1.0
4866,썬더치킨,"치킨,닭강정","서울특별시 동작구 상도로22길 10, 1층 (상도동)",0건,0.6
4876,젠사이야,요리주점,"서울특별시 동작구 상도로61길 35 (상도동, 금영빌딩 지하1층)",0건,1.0
4880,오부장치킨,"치킨,닭강정","서울특별시 동작구 만양로12길 13, 1층 (노량진동)",0건,1.0
4890,위고푸드 장승배기점,한식,"서울특별시 동작구 상도로22길 37, 1층 (상도동)",0건,1.0
4896,마라도아구찜,"아귀찜,해물찜","서울특별시 동작구 여의대방로22가길 11, 2층 (신대방동)",0건,1.0
4906,빡가 Bros,한식,"서울특별시 동작구 만양로16길 35, 1층 (노량진동)",0건,1.0
4916,대한해물,"아귀찜,해물찜","서울특별시 동작구 만양로 100, 1층 1~2호 (노량진동)",22건,0.7
4926,프로스퍼(prosper),"카페,디저트","서울특별시 동작구 여의대방로24길 101, 1층 (대방동)",0건,0.7
4936,7번가피자 상도점,피자,"서울특별시 동작구 상도로 313, 1층 (상도1동)",0건,1.0
4942,스시향,일식당,"서울특별시 동작구 사당로 224-1, 1층 (사당동)",0건,0.8
4952,신선채,샤브샤브,"서울특별시 동작구 사당로14가길 9, 1층 (사당동)",0건,0.7
4962,술탄,술집,"서울특별시 동작구 국사봉1길 18, 2층 (상도동)",11건,1.0
4969,사이시옷 2호점,"카페,디저트","서울특별시 동작구 등용로 108, 2층 (대방동)",0건,1.0
4979,우리보쌈&밥상,"족발,보쌈","서울특별시 동작구 상도로56길 2, 1층 (상도동)","8,620건",0.9
4989,우마이,카레,"서울특별시 동작구 상도로67길 27, 3층 (상도동)",4건,0.9
4999,미스터 초이,"스파게티,파스타전문","서울특별시 동작구 동작대로3길 31, 1층 (사당동)",3건,0.8
5009,우리집 칼국수,"칼국수,만두","서울특별시 동작구 서달로12가길 13, 1층 (흑석동)",19건,1.0
5019,포도밭에서,양식,"서울특별시 동작구 남부순환로 2057, 지하1층 (사당동)",0건,1.0
5023,품미,중식당,"서울특별시 동작구 국사봉길 13, 1층 (상도동)",1건,0.7
5033,싸다김밥,종합분식,"서울특별시 동작구 사당로17가길 16, 1층 (사당동)",9건,0.7
5043,카페 퍼블리코,카페,"서울특별시 동작구 상도로 47, 1층,2층 (대방동)",0건,0.9
5053,피자알볼로 노량진흑석점,피자,"서울특별시 동작구 노량진로 229, 1층 (본동)",0건,1.0
5063,힐링푸드,한식,서울특별시 동작구 대림로 36-1 (신대방동),4건,1.0
5073,장가네토종순대국Ⅱ,"순대,순댓국","서울특별시 동작구 동작대로3길 38, 지하1층 (사당동)",0건,1.0
5083,제이콜라보,"카페,디저트","서울특별시 동작구 상도로15길 64, 1층 (상도동)",7건,1.0
5093,큰집돌솥추어탕,추어탕,서울특별시 동작구 상도로 71 (대방동),1건,0.55
5113,바리스타조앤,카페,"서울특별시 동작구 서달로14가길 1, 1층 (흑석동)",0건,1.0
5123,메가커피 이수태평점,카페,"서울특별시 동작구 동작대로27길 20, 1층 (사당동)",0건,0.9
5133,이태리상회,양식,"서울특별시 동작구 사당로 245, 1층 (사당동)",1건,0.9
5143,술의집,"맥주,호프",서울특별시 동작구 장승배기로 146 (노량진동),"1,117건",1.0
5153,미스터보쌈흑석점,"족발,보쌈","서울특별시 동작구 노량진로 256, 1층 2호 (본동)",0건,1.0
5165,봉구스 신대방점,분식,"서울특별시 동작구 여의대방로10길 13, 1층 (신대방동)",0건,0.8
5175,최가네생삼겹살,"육류,고기요리","서울특별시 동작구 여의대방로22길 80, 1층 (신대방동)",0건,1.0
5185,스톤504,"스테이크,립","서울특별시 동작구 상도로61길 54, 1층 (상도동)",1건,1.0
5195,아리랑컵밥,"도시락,컵밥","서울특별시 동작구 상도로67길 19, 1층 (상도동)",0건,1.0
5205,모스키친,돈가스,"서울특별시 동작구 보라매로 91, 1층 (신대방동)",0건,0.6
5215,술광장호프치킨,"맥주,호프","서울특별시 동작구 흑석로 110-1, 2층 (흑석동)",0건,0.9230769230769231
5228,꼰대맥주,"맥주,호프","서울특별시 동작구 만양로14길 38, 1층 (노량진동)",3건,1.0
5229,또우리,"육류,고기요리","서울특별시 동작구 서달로14길 30, 1,2층 (흑석동)","8,623건",0.9
5239,돈페페,와인,"서울특별시 동작구 사당로30길 123-1, 1층 (사당동)",0건,0.9
5249,울엄마김밥,김밥,"서울특별시 동작구 노량진로 228, 1층 (본동)",10건,0.8
5259,빨봉분식노량진점,분식,"서울특별시 동작구 만양로 100, 2층 202호 (노량진동)",0건,0.8
5269,호프왕노가리,포장마차,"서울특별시 동작구 상도로22길 44, 1층 (상도동)",0건,0.9090909090909091
5280,요술시계,술집,"서울특별시 동작구 흑석로 101-5, 3층 (흑석동)",3건,1.0
5284,포차야,포장마차,"서울특별시 동작구 여의대방로24길 10-4, 지하1층 (신대방동)",61건,1.0
5288,문래돼지불백,문래돼지불백,"서울특별시 동작구 대림로 28, 1층 (신대방동)",1건,0.7
5298,백야포차,포장마차,"서울특별시 동작구 사당로30길 137, 1층 (사당동)",0건,0.6666666666666666
5301,고향포차,포장마차,"서울특별시 동작구 흑석로9길 12, 2층 (흑석동)",2건,1.0
5306,홀라닭강정,"치킨,닭강정","서울특별시 동작구 신대방길 11, 1층 (신대방동)",0건,0.9
5316,남성국수,국수,"서울특별시 동작구 사당로 186, 1층 (사당동)",31건,0.9
5326,흑석드럼통소금구이,돼지고기구이,"서울특별시 동작구 서달로15길 22, 지상1층 (흑석동)",3건,1.0
5336,맨드라미,한식,"서울특별시 동작구 국사봉길 74, 지상1층 (상도동)",8건,0.8571428571428571
5343,커피온리(노량진점),카페,"서울특별시 동작구 만양로 112, 지상1층 (노량진동)",0건,0.7
5353,허흑오리,오리요리,"서울특별시 동작구 신대방2길 11, 1층 (신대방동)",0건,1.0
5358,왕돈까스왕냉면,돈가스,"서울특별시 동작구 사당로30길 9-1, 1층 (사당동)",0건,0.8
5368,다와분식,한식,"서울특별시 동작구 양녕로25길 2-8, 지하1층 (상도동)",0건,0.9
5378,푸라닭 사당1호점,"치킨,닭강정","서울특별시 동작구 사당로13길 31, 두산위브  지하1층 제지1-1, 1-2호 (사당동)",0건,0.9
5388,빅스타피자 사당방배점,피자,"서울특별시 동작구 사당로29가길 46, 2층 206호 (사당동)",0건,0.9
5398,곰토끼,샌드위치,"서울특별시 동작구 서달로8가길 9, 지상1층 (흑석동)",2건,1.0
5402,토끼네,한식,"서울특별시 동작구 서달로12길 29, 지상1층 (흑석동)",1건,1.0
5408,국수나무장승배기점,국수,"서울특별시 동작구 상도로30길 39, 120동 109호 (상도동)",0건,1.0
5418,양철북,한식,"서울특별시 동작구 만양로 84, 제지하1층 24호 (노량진동)",3건,0.9
5428,오누이(ONUE),갤러리카페,"서울특별시 동작구 시흥대로 676, 지하1층 (신대방동)",0건,0.9
5444,족발천국,"족발,보쌈","서울특별시 동작구 상도로47길 4, 104호 (상도동)",4건,0.9
5454,도토리면옥,한식,"서울특별시 동작구 사당로16길 27, 지상1층 (사당동)",1건,0.8
5459,빽찐라면,라면,"서울특별시 동작구 상도로 295, 가동 1층 (상도1동)",2건,0.7
5469,아오키(Aoki),이자카야,"서울특별시 동작구 사당로 300, 124호 (사당동)",1건,0.8
5479,신라스테이Cafe,뷔페,"서울특별시 동작구 시흥대로 596, 지상2층 (신대방동)",1건,0.9
5489,스시아나,"초밥,롤","서울특별시 동작구 국사봉1길 41, 지상2층 (상도동)",0건,1.0
5499,춘자씨칼국수,"칼국수,만두","서울특별시 동작구 상도로15길 38, 1층 (상도동)",1건,1.0
5512,량이네 왕꼬치포차,포장마차,"서울특별시 동작구 여의대방로 134-1, 지하1층 (대방동)",0건,0.8333333333333334
5518,콩심신대방점,국밥,"서울특별시 동작구 국사봉1길 18, 1층 1001호 (상도동)",0건,0.8
5528,중문닭갈비,닭갈비,"서울특별시 동작구 흑석로6길 12, 지하1층 (흑석동)",0건,0.7
5538,천사곱창 이수점,"곱창,막창,양","서울특별시 동작구 동작대로27다길 29, 지상1층 106호 (사당동)",0건,0.8
5548,카페퍼블리코,카페,"서울특별시 동작구 상도로 47, 헬로우빌딩 A동 지상2층 (대방동)",0건,0.9
5558,상남스시,"초밥,롤","서울특별시 동작구 여의대방로24길 64, 지상1층 (신대방동)",0건,0.9
5568,청기와 매운탕,"매운탕,해물탕","서울특별시 동작구 여의대방로24라길 35, 1층 (대방동)",0건,1.0
5578,더에스비웨딩컨벤션,예식장,"서울특별시 동작구 보라매로5길 15, 지상5층 (신대방동)",7건,1.0
5582,신나게빚은왕만두찐빵,만두,"서울특별시 동작구 동작대로29나길 20, 1층 (사당동)",0건,1.0
5589,용궁회집,생선회,"서울특별시 동작구 노들로 674, 지상2층 17호 (노량진동)",0건,0.7
5599,더참맛수육국밥&보쌈노량진점,국밥,"서울특별시 동작구 노량진로14가길 10, 지상1층 (노량진동)",12건,0.9
5609,자매우동포차,포장마차,"서울특별시 동작구 서달로12가길 11, 지상2층 (흑석동)",3건,1.0
5614,청춘싸롱 신대방삼거리역점,"맥주,호프","서울특별시 동작구 국사봉길 33, 지상1층 (상도동)",1건,1.0
5624,현대농장김밥,종합분식,"서울특별시 동작구 사당로8길 8, 지상1층 (사당동)",1건,0.9
5634,장승칡냉면&장족,냉면,"서울특별시 동작구 상도로34길 3, 지상1층 (상도동)",0건,0.9
5644,부산일번지,한식,"서울특별시 동작구 노들로 674, 지상2층 14호 (노량진동)",1건,0.5
5654,우주매점,편의점,"서울특별시 동작구 노들로 674, 지상1층 매점7호 (노량진동)",3건,0.9
5664,지코바상도1호점,"치킨,닭강정","서울특별시 동작구 상도로37길 32, 지상1층 (상도1동)",0건,0.9
5674,영건슈림프,"해물,생선요리","서울특별시 동작구 노들로 674, 지상2층 매점12호 (노량진동)",1건,0.6
5684,치치노량진점,요리주점,"서울특별시 동작구 만양로 89-1, 지상2층 (노량진동)",0건,1.0
5694,청년떡볶이장승배기역점,분식,"서울특별시 동작구 상도로 207, 제지2층 212호 (상도동)",0건,0.9
5704,미스터초밥,"초밥,롤","서울특별시 동작구 상도로31길 19, 제상가동 제지2층 206호 (상도동)",7건,0.9
5714,고마호프,"맥주,호프","서울특별시 동작구 동작대로7길 25, 1층 (사당동)",1건,0.9
5724,미각중식당,중식당,"서울특별시 동작구 흑석로 115, 2층 (흑석동)",0건,0.9166666666666666
5736,이승철스시,"초밥,롤","서울특별시 동작구 노량진로8길 3, 지상1층 (노량진동)",0건,0.8
5746,계경순대국 노량진메가스터디점,"순대,순댓국","서울특별시 동작구 노량진로 140, 제1동 제107호 (노량진동)",0건,0.8
5756,메가돈,돈가스,"서울특별시 동작구 노량진로 140, 지상1층 108호 (노량진동)",0건,0.6
5766,내가찜한닭,찜닭,"서울특별시 동작구 흑석로 87, 지상2층 (흑석동)",1건,0.9
5776,호식이두마리치킨상도1호점,"치킨,닭강정","서울특별시 동작구 상도로62길 105, 지상1층 (상도동)",0건,0.9
